architecture,profile,p,seed,epoch,train_rmspe,validation_rmspe,run_id
exact_shallow,none,0.0,100,26,0.21427320445185688,0.1866057151767121,bf857cdc51feabf6d167
exact_shallow,none,0.0,100,27,0.2062840392690202,0.18324062134254704,bf857cdc51feabf6d167
exact_shallow,none,0.0,100,28,0.20487237658261065,0.18277943053895038,bf857cdc51feabf6d167
exact_shallow,none,0.0,100,29,0.202808182296587,0.18297324346020322,bf857cdc51feabf6d167
exact_shallow,none,0.0,102,0,24.094264923229858,8.397974208852604,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,1,5.690006287779349,5.2597289260313325,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,2,5.372594934565243,2.5749416073128857,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,3,2.50078325782664,1.3319527971199583,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,4,0.7839561753089013,0.220311085254598,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,5,0.7101176224146297,0.3918057876624813,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,6,0.5833586857747596,0.4328660353847706,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,7,0.6324923565421966,0.5316102982538576,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,8,0.5931848507654339,0.6429690104097863,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,9,0.5577646945342397,0.3499251089409447,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,10,0.5186775276501923,0.22778545486044804,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,11,0.394821078823677,0.34817321537426477,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,12,0.3691052437306641,0.48556479137855096,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,13,0.38094140231025087,0.26777106639537623,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,14,0.3621677527223591,0.20360382682453346,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,15,0.3376201755775043,0.2618980717392001,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,16,0.324840472392506,0.25002706869201075,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,17,0.29632691214739015,0.289446303919459,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,18,0.2658956447067765,0.20334044780985672,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,19,0.2611074393121832,0.22440977680915802,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,20,0.2441898998198122,0.19645952085028162,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,21,0.23668154982574754,0.1882215955847083,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,22,0.226094687477959,0.19119462794679268,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,23,0.217539748607887,0.3147343134175217,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,24,0.21285843152999953,0.18538315813155795,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,25,0.2085503212033953,0.18324923988339142,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,26,0.20338643874178391,0.18664247943423987,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,27,0.20066338834068606,0.18533374946931852,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,28,0.1984439817781796,0.1820092279216522,4387ad2f2b3d4bb5d3c2
exact_shallow,none,0.0,102,29,0.19679605286650584,0.18294990049032964,4387ad2f2b3d4bb5d3c2
exact_shallow,uniform,0.025,100,0,30.36785535797358,2.910384551542457,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,1,5.823883316705098,2.6331309354459416,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,2,3.1634653926242784,0.31037734869919587,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,3,0.7729968540448051,0.24285590411350386,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,4,0.7333764170692212,0.6518632708868168,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,5,0.6145813197344037,0.5386717727796096,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,6,0.5024808221786097,0.24555743523336207,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,7,0.5615652959887721,0.23504336074958246,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,8,0.497475462263998,0.476762422538781,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,9,0.528900487896969,0.6219896335387519,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,10,0.418749507556188,0.33114450282977553,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,11,0.45822953156303403,0.49103908451950445,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,12,0.44688672177931843,0.9439913751592426,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,13,0.4204193736526131,0.27626710575068053,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,14,0.3945885034577324,0.6463203794365876,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,15,0.37503710711960503,0.4295430245274338,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,16,0.36142042618433295,0.1990717701938239,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,17,0.3285921096758834,0.2026833638630028,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,18,0.2962165594692002,0.350436480210535,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,19,0.2809367948708083,0.2591290262258044,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,20,0.27780063345111644,0.21744569625056226,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,21,0.25274868103263376,0.19142850135433948,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,22,0.2506402826863877,0.2061292978085117,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,23,0.24455588607076406,0.21484208588646975,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,24,0.2299635173493567,0.18520905893364623,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,25,0.21774043846219182,0.18259335738942833,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,26,0.21748327015243193,0.19347807413694534,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,27,0.21008873813742177,0.18235629564739772,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,28,0.20809209537272155,0.1824939906474651,47cbee2bc889ea09281f
exact_shallow,uniform,0.025,100,29,0.20728485885175746,0.18251185859201133,47cbee2bc889ea09281f
exact_shallow,none,0.0,103,0,24.66124259771769,5.499412802241474,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,1,6.7948433024846535,4.966223860507466,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,2,4.6710199347274495,1.1407327035390167,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,3,1.5279605285253928,2.8343437865154546,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,4,0.8389018817975339,0.5416293303228821,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,5,0.6305241036108026,1.009774590809332,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,6,0.672275027886766,0.4151173337406415,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,7,0.5500307198273465,0.27924230527184507,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,8,0.6147145394207555,0.3838193165827322,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,9,0.5911376950807739,0.23196699795631573,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,10,0.5797283533322091,0.2415842792087745,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,11,0.46314051006934676,0.28774927191961414,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,12,0.44567060655461743,0.2171494420103112,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,13,0.37615181301916056,0.20693393167864033,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,14,0.411014131902827,0.23969006896329104,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,15,0.395496185686051,0.22546929576083455,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,16,0.328261080039043,0.3369334844330757,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,17,0.30247032151166126,0.22881018830977595,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,18,0.2847025917627034,0.18785395890868387,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,19,0.2883546124223879,0.20382529288238513,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,20,0.27733254058624474,0.2504852213421523,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,21,0.24492364295452235,0.1969219567100194,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,22,0.2341228256083882,0.19704501818242928,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,23,0.2225939189324886,0.2054182473607965,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,24,0.2184540113067356,0.18439255001525467,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,25,0.2106656570281169,0.192096776146815,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,26,0.20353538060549842,0.18615693960866952,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,27,0.20162456331852352,0.18412127143959922,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,28,0.19815648845092812,0.18196647659475182,511c9f92b917e982dfb2
exact_shallow,none,0.0,103,29,0.1973175629324152,0.18359613379652945,511c9f92b917e982dfb2
exact_shallow,none,0.0,104,0,29.199765873357507,11.366651154363824,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,1,6.966675661293742,15.693340624796832,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,2,5.666818819541193,0.8856250179599955,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,3,1.8122438896279083,0.7326503963611413,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,4,0.7758816452831925,0.6263268485534854,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,5,0.7718162435037076,1.3433496070555528,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,6,0.6361312425745898,0.46363813913099006,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,7,0.655460259136065,0.5488792206449942,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,8,0.6141576646412409,0.34241947334142664,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,9,0.5490733801587944,0.22618821414239562,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,10,0.5616310220662019,0.5639958756194547,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,11,0.49996900226260815,0.6326028332359113,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,12,0.4942405233675653,0.2868968071618281,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,13,0.43272565140532626,0.2550229152911052,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,14,0.3961943384989835,0.21919781282241887,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,15,0.3938393051856963,0.37515768379773856,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,16,0.3599114250246005,0.25674705873643494,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,17,0.3264285469106684,0.23624342587434388,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,18,0.30922966581331474,0.4053840641530489,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,19,0.28288128906587173,0.31028442941423084,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,20,0.2542152874882986,0.35533912778710647,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,21,0.25566324015733466,0.18872438502416075,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,22,0.2494140287064534,0.21721470199741955,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,23,0.23455498201126032,0.191182499202947,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,24,0.22684224559379348,0.22313924220487966,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,25,0.21624233798893308,0.1897404271614216,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,26,0.20996966402863487,0.18915076790244675,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,27,0.2054057328953423,0.1835243505532796,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,28,0.20146937353235808,0.18328141234834647,86de4f8ffb9df7b5a478
exact_shallow,none,0.0,104,29,0.20009129551503252,0.18402655558718853,86de4f8ffb9df7b5a478
exact_shallow,uniform,0.025,103,0,26.52079002706685,5.492416681293794,f67db019f7fe1b82a610
exact_shallow,uniform,0.025,103,1,5.079815791900276,3.6644314178733755,f67db019f7fe1b82a610
exact_shallow,uniform,0.025,103,2,3.547578569554637,0.3717042739263429,f67db019f7fe1b82a610
